AI,r,m,v,,
0.004544982,0.337884785,-0.142857143,0.217741234,79,3
0.0025206,0.842032943,-0.6,0.252140096,80,4
0.002235701,0.723538325,-0.6,0.34545599,81,4
0.001811133,0.726811175,-0.6,0.179895561,82,4
0.01467515,0.71905701,-0.6,-0.105241991,83,4
0.003504166,0.667680317,-0.6,0.471685753,84,4
0.009670465,0.631277811,-0.6,-0.065529269,85,4
0.002577159,0.612837033,-0.6,0.582004954,86,4
0.002027998,0.67098041,-0.6,0.434924784,87,4
0.005059687,0.642675675,-0.6,0.278059149,88,4
0.005100818,0.56190766,-0.6,0.207138658,89,4
0.0177891,0.540851064,-0.6,0.293844078,90,4
0.089482964,0.457498177,-0.6,-0.378872745,91,4
0.016434245,0.460330928,-0.6,0.526618487,92,4
0.037165933,0.402833163,-0.6,-0.028838773,93,4
0.026726205,0.490773323,-0.6,0.177291688,94,4
0.09222101,0.436967407,-0.6,0.164157307,95,4
0.027384185,0.340672972,-0.6,0.672055476,96,4
0.001712105,0.874326306,-0.6,0.051455923,97,4
0.004681463,0.766535956,-0.6,0.167269692,98,4
0.003076073,0.694435514,-0.6,0.429095339,99,4
0.002144829,0.745409591,-0.6,0.31984501,100,4
0.001367709,0.638746459,-0.6,0.378524607,101,4
0.009109235,0.519549282,-0.6,0.35109535,102,4
0.001854824,0.557440968,-0.6,0.523203552,103,4
0.003512042,0.615187219,-0.6,0.068506999,104,4
0.068305943,0.489628708,-0.6,0.024039586,105,5
0.011287367,0.481203648,-0.6,0.283230671,106,5
0.038408243,0.459528588,-0.6,-0.082149165,107,5
0.004262794,0.543564948,-0.6,0.233249123,108,5
0.011512114,0.491610184,-0.6,0.024757839,109,5
0.021871881,0.486304865,-0.6,0.0379493,110,5
0.009449317,0.514068411,-0.6,-0.396144089,111,5
0.003984188,0.513756667,-0.6,-0.37610716,112,5
0.001617064,0.584765864,-0.6,0.030260449,113,5
0.007057439,0.555091738,-0.6,0.104353985,114,5
0.007278569,0.570188465,-0.6,-0.152173471,115,5
0.004141431,0.623792128,-0.6,-0.201876111,116,5
0.005569773,0.65650817,-0.6,0.174920113,117,5
0.006184898,0.503821404,-0.6,-0.055581466,118,5
0.002393652,0.851814516,-0.6,0.590860127,119,5
0.005759481,0.747769567,-0.6,0.371660406,120,5
0.001872187,0.652160263,-0.6,0.110682522,121,5
0.002298943,0.71141445,-0.6,0.102718597,122,5
0.001824705,0.787273655,-0.6,-0.018179249,123,5
0.002711578,0.801559779,-0.6,0.396588657,124,5
0.003033899,0.759594707,-0.6,0.101868898,125,5
0.041816188,0.705716391,-0.6,0.226905614,126,5
0.019008342,0.631887853,-0.6,0.080377185,127,5
0.003944382,0.653994109,-0.6,0.377702251,128,5
0.002800148,0.676597184,-0.6,0.175132282,129,5
0.0034982,0.594147644,-0.6,0.5189383,130,5
0.007276112,0.543263803,-0.6,-0.092718812,131,5
0.012304267,0.512556854,-0.6,0.010079292,132,5
0.019526339,0.556594682,-0.6,0.032832874,133,5
0.045171637,0.590848993,-0.6,0.100955605,134,5
0.014197244,0.499689053,-0.6,0.092996765,135,5
0.011869189,0.508757189,-0.6,-0.046869256,136,5
0.034117046,0.456171763,-0.6,0.117478829,137,5
0.022118786,0.494492065,-0.6,0.063160088,138,5
0.002665428,0.599594922,-0.6,0.141198437,139,5
0.004317105,0.599748684,-0.6,-0.352141716,140,5
0.004170934,0.64698187,-0.6,-0.435344298,141,5
0.002017873,0.664490373,-0.6,0.316097452,142,5
0.002681272,0.712657829,-0.6,-0.342470476,143,5
0.009773225,0.562912013,-0.6,-0.625489904,144,5
0.001727832,0.752784337,-0.6,0.065617987,145,5
0.001787822,0.658548206,-0.6,0.670870244,146,5
0.019813903,0.526143049,-0.6,-0.262451064,147,5
0.002985247,0.613911728,-0.6,0.212276275,148,5
0.005613098,0.554905323,-0.6,-0.304722048,149,5
0.007685423,0.53086826,-0.6,-0.428875972,150,5
0.003620404,0.838614649,-0.6,0.34545599,151,5
0.001318599,0.870984564,-0.6,0.179895561,152,5
0.004439628,0.90830813,-0.6,-0.105241991,153,5
0.002198123,0.806373506,-0.6,0.265224271,154,5
0.001873945,0.791431933,-0.6,0.050777534,155,5
0.002803434,0.716781762,-0.6,0.178617334,156,5
0.012758761,0.778504323,-0.6,0.059119196,157,5
0.001712868,0.785419744,-0.6,0.519130031,158,5
0.004036685,0.607399047,-0.6,0.307286736,159,5
0.005595502,0.648856975,-0.6,0.28315261,160,5
0.048331922,0.694254686,-0.6,0.379741687,161,5
0.002277884,0.663258773,-0.6,0.204091338,162,5
0.004640279,0.556489855,-0.6,0.145727317,163,5
0.007844202,0.874950324,-0.6,0.393224514,164,5
0.029416843,0.763441835,-0.314285714,0.024039586,165,6
0.008315286,0.713159909,-0.314285714,0.283230671,166,6
0.071749399,0.699131596,-0.314285714,-0.082149165,167,6
0.006536202,0.727200945,-0.314285714,0.233249123,168,6
0.01113252,0.684346909,-0.314285714,0.024757839,169,6
0.038404768,0.667987619,-0.314285714,0.0379493,170,6
0.023396871,0.678698571,-0.314285714,-0.396144089,171,6
0.016246402,0.642194073,-0.314285714,-0.37610716,172,6
0.008520331,0.676448228,-0.314285714,0.030260449,173,6
0.009628191,0.640902224,-0.314285714,-0.015512702,174,6
