AI,Rrup,Mw,Vs30,zh,
0.007866617,81.87391437,5.3,246.7284,353,9
0.069676851,69.24461863,5.3,274.122,354,9
0.006517523,91.64786097,5.3,270.7708,355,9
0.006467815,108.6482045,5.3,281.2124,356,9
0.005603251,88.29071021,5.3,258.5682,357,9
0.023672973,69.99042294,5.3,291.7127,358,9
0.002301358,118.239718,5.3,377.0819,359,9
0.002861722,101.3571671,5.3,363.2759,360,9
0.022214027,92.1875161,5.3,421.7628,361,9
0.013086173,125.435436,5.9,243.39799,362,10
0.004081485,131.1124295,5.9,363.31973,363,10
0.027097663,120.2391294,5.9,206.55794,364,10
0.012733302,87.30965561,5.9,336.31079,365,10
0.00804335,105.3564347,5.9,243.66833,366,10
0.019686719,113.7463189,5.9,248.68715,367,10
0.004206121,128.8443114,5.9,131.13963,368,10
0.00833012,97.02177293,5.9,245.74942,369,10
0.004225026,108.3026208,5.9,228.96497,370,10
0.007498972,118.5874318,5.9,275.56555,371,10
0.005654498,75.41174433,5.9,209.85481,372,10
0.002506554,89.81197322,5.9,576.61603,373,10
0.00238603,183.7217151,5.9,394.61996,374,10
0.004820944,161.2917358,5.9,416.52783,375,10
0.00354854,158.7709318,5.9,274.86993,376,10
0.020395521,89.38481946,5.9,228.0233,377,10
0.040787263,66.06156428,5.9,432.8886,378,10
0.099573131,64.33588764,5.9,274.5092,379,10
0.093141208,77.46356595,5.9,333.0297,380,10
0.07053167,88.59172144,5.9,265.5409,381,10
0.037551564,73.2180189,5.9,420.4355,382,10
0.010027992,108.4467536,5.9,522.9963,383,10
0.016307541,103.636942,5.9,238.2027,384,10
0.022817028,87.54498183,5.9,246.7284,385,10
0.13176876,74.78603723,5.9,274.122,386,10
0.025940972,97.73829405,5.9,270.7708,387,10
0.013326564,119.0147448,5.9,218.1334,388,10
0.019201224,114.7413788,5.9,281.2124,389,10
0.016309604,94.51282832,5.9,258.5682,390,10
0.04391002,75.23722344,5.9,291.7127,391,10
0.002698751,182.2247148,5.9,259.5523,392,10
0.010246979,133.9936935,5.9,156.3224,393,10
0.002423363,115.5839424,5.9,487.2012,394,10
0.006018988,136.5683403,5.9,353.3482,395,10
0.004251543,120.4578546,5.9,253.6669,396,10
0.005665165,104.1728969,5.9,478.8921,397,10
0.005374602,126.2938099,5.9,309.0803,398,10
0.051274643,133.8456473,5.9,256.9584,399,10
0.014248139,122.7158368,5.9,377.0819,400,10
0.014768388,105.0293521,5.9,363.2759,401,10
0.171647302,94.63749484,5.9,421.7628,402,10
0.012962557,121.2084827,5.6,206.55794,403,11
0.009277989,112.70265,5.6,248.68715,404,11
0.004416298,113.094376,5.6,127.1408,405,11
0.004557425,104.6085818,5.6,131.13963,406,11
0.009037111,99.40625377,5.6,275.56555,407,11
0.004506479,88.64061316,5.6,290.70941,408,11
0.024817106,95.50459341,5.6,185.37057,409,11
0.008837144,92.31469366,5.6,171.66423,410,11
0.008457613,79.32626655,5.6,166.97049,411,11
0.01153555,82.77107552,5.6,255.86218,412,11
0.012629963,71.25054814,5.6,389.23804,413,11
0.011922602,82.20724815,5.6,144.11224,414,11
0.025017083,72.55017639,5.6,165.19353,415,11
0.018754787,74.453732,5.6,743.37653,416,11
0.003668233,107.1202652,5.6,215.21594,417,11
0.009719191,110.9997965,5.6,136.088,418,11
0.009447847,108.3801145,5.6,119.6667,419,11
0.001892214,98.08122197,5.6,615.7157,420,11
0.022537931,94.63955005,5.6,262.0394,421,11
0.001740776,106.5011357,5.6,458.2165,422,11
0.00382772,114.3297025,5.6,382.2518,423,11
0.00172787,133.4374279,5.6,343.7977,424,11
0.011746913,123.6999809,5.6,138.1374,425,11
0.006741195,119.0445438,5.6,375.5872,426,11
0.002129057,130.4809895,5.6,473.4697,427,11
0.006306801,129.3383866,5.6,99.70285,428,11
0.002674163,137.9456059,5.6,396.2268,429,11
0.001572154,148.7939365,5.6,325.5844,430,11
0.002466758,131.7316086,5.6,120.869,431,11
0.003110987,130.7794723,5.6,399.9957,432,11
0.009581165,125.7912985,5.6,309.6915,433,11
0.037077228,128.8335137,5.6,199.3158,434,11
0.001003487,137.8253928,5.6,459.312,435,11
0.003923613,150.1030492,5.6,253.933,436,11
0.003359519,132.5326774,5.6,321.4917,437,11
0.003738257,128.6249448,5.6,278.458,438,11
0.002721321,132.3629309,5.6,306.3208,439,11
0.00337075,125.1657079,5.6,293.7617,440,11
0.027007457,104.3686893,5.6,430.6437,441,11
0.014852836,102.0133721,5.6,298.2384,442,11
0.002270939,159.3108839,5.6,303.7069,443,11
0.003543144,190.2418158,5.7,206.55794,444,12
0.002384053,86.21774828,5.7,209.85481,445,12
0.004221426,123.1609949,5.7,228.0233,446,12
0.005525705,96.00278494,5.7,432.8886,447,12
0.008592273,104.3338696,5.7,274.5092,448,12
0.007746202,125.0905544,5.7,333.0297,449,12
0.011390322,144.1005677,5.7,265.5409,450,12
0.002112189,128.4255545,5.7,420.4355,451,12
0.003946558,118.8291872,5.7,307.42,452,12
0.002975431,174.0625106,5.7,203.2111,453,12
0.002319685,183.1374229,5.7,281.2124,454,12
0.017014777,177.4657739,5.7,256.9584,455,12
0.001739522,159.0383403,5.7,363.2759,456,12
0.014038747,143.307559,5.7,421.7628,457,12
0.07917005,62.71866435,5.7,243.39799,458,13
0.016494881,65.40186333,5.7,363.31973,459,13
0.052975879,63.28988888,5.7,206.55794,460,13
0.019677329,69.48720097,5.7,336.31079,461,13
0.004043104,90.8307737,5.7,480.68826,462,13
